osm_type,osm_id,name,name_en,name_ru,name_ky,elevation_m,lat,lon,prominence,wikidata,wikipedia
node,12241649625,Ishanbulak,Ishanbulak,Ишанбулак,Ишанбулак,4647,42.9054059,77.2974677,,,
node,9626351187,Киргизии Южная вершина,,,,4646,42.7712917,76.646535,,,
node,2593135349,,,,,4645,39.0939311,74.1440758,,,
node,2956442828,Чарат Главный,,,,4644,39.9780286,72.6513615,,,
node,5604556492,Чонг-Каракоман,,,,4644,40.68164,74.40654,,,
node,349004946,Kemin,Kemin,Кеминский,Кемин,4643,42.9161177,77.2215958,,,
node,2589812513,,,,,4643,41.8900369,79.8921777,,,
node,2626959157,,,,,4643,39.2455188,73.7635222,,,
node,10726872457,,,,,4641,42.0607383,78.6011802,,,
node,10247146559,,,,,4640,42.1526189,79.2483328,,,
node,2593036241,,,,,4639,39.3177413,74.3158311,,,
node,3336576809,Искра,,,,4639,42.4965737,74.7649536,,,
node,7341570015,,,,,4639,39.5231772,71.3044452,,,
node,11194770685,,,,,4639,41.9670849,77.7050972,,,
node,1867556457,,,,,4638,42.0301144,78.0014585,,,
node,1740257035,Vsevobuch,Vsevobuch,Всевобуч,,4635,43.0668834,77.3529952,,,
node,2314876847,,,,,4635,39.0873353,69.0209965,,,
node,2593036152,,,,,4635,39.2967795,74.7199601,,,
node,5604554564,Attie,,,,4635,41.9553111,76.7845389,,,
node,7653467385,Труд,,Труд,,4635,43.1087094,77.3256728,,,
node,2626958839,,,,,4634,39.1651892,73.898915,,,
node,5604555314,,,,,4634,41.772015,77.68185,,,
node,5578960862,Zharsay,Zharsay,Жарсай,,4632,43.1290517,77.3844432,,,
node,9592100175,Легендарная Магнитка,,,,4632,39.9854727,72.7073907,,,
node,11987843842,,,,,4632,40.070872,74.0178734,,,
node,2593135341,,,,,4630,39.0680679,74.2677749,,,
node,2626959377,,,,,4630,39.3174271,73.9505981,,,
node,5604554615,,,,,4630,41.8538997,77.0734691,,,
node,5578960607,Aktau,Aktau,Актау,,4626,43.096773,77.3123609,,Q16272643,"ru:Актау_(гора,_Казахстан)"
node,2593036180,,,,,4625,39.3042933,74.6377497,,,
node,2626959039,,,,,4625,39.2130082,73.8238058,,,
node,1740256972,Belyj Pik,Belyj Pik,Белый Пик,,4623,43.0551693,77.3338904,,,
node,2593035908,,,,,4623,39.215295,74.4424725,,,
