osm_type,osm_id,name,name_en,name_ru,name_ky,elevation_m,lat,lon,prominence,wikidata,wikipedia,prominence_calc
node,10789557784,,,,,4797,41.9811472,77.6930272,,,,1089
node,12980236656,Кафедра,,,,4786,41.022974,77.2945475,,,,4
node,2117817831,,,,,4785,41.9450321,79.8133832,,,,-4
node,5605660239,Emma,Emma,,,4783,41.69426,78.9293,,,,270
node,11188956620,пик Мажвидаса,,,,4780,42.2137152,78.6635685,,,,104
node,2147900832,Сигитова,,,,4777,42.3194892,80.0859982,,,,363
node,3346060493,Свободная Корея,,Свободная Корея,,4777,42.4965137,74.5450258,,Q13667726,en:Free Korea Peak,332
node,5604556498,Баяман Узловая,,Баяман Узловая,,4773,40.54649,74.55744,,,,407
node,1867556479,,,,,4772,42.1042246,78.3409095,,,,351
node,5578960584,Чоктал,,Чоктал,,4771,42.7755619,76.6885198,,,,2778
node,11198182869,пик Калашникова,,,,4771,42.2946277,78.8969367,,,,560
node,2589812523,,,,,4770,41.9044146,79.9102925,,,,283
node,2589812489,,,,,4768,41.8606582,79.7731493,,,,161
node,2589812456,,,,,4764,41.8273313,79.7374454,,,,857
node,2145680101,Кара-Кунгей,,,,4762,41.9402037,76.7225583,,,,1117
node,2589812557,,,,,4762,41.9542367,79.9068846,,,,89
node,10768402833,Пожарных героев Чернобыля,,,,4759,41.0334044,77.6441306,,,,223
node,5604556422,Кенсу,,,,4757,40.89372,75.606362,,,,1188
node,5604556423,,,,,4755,40.9589444,75.7654444,,,,490
node,3345999256,пик Скрябина Южный,,,,4753,42.5284266,74.5725079,,,,70
node,1867556564,,,,,4752,42.300079,78.8866635,,,,173
node,2589838805,,,,,4750,41.956537,79.7913992,,,,225
node,5604555795,Борколдой,,,,4750,41.3009694,77.5587417,,,,281
node,5604556496,Кашкасу,,Кашкасу,,4750,40.5531921,74.5821798,,,,168
node,5605660831,пик Тухачевского,,,,4750,42.1952722,78.4418838,,,,549
node,10218666512,,,,,4750,42.0984135,79.5483541,,,,187
node,10247146760,,,,,4750,42.1833772,79.3242502,,,,798
node,2589812566,,,,,4747,41.9713292,79.9131569,,,,76
node,5604552008,Zeus,,,,4747,40.498232,75.0342701,,,,277
node,5604556453,Bar-Tau,Bar-Tau,,,4743,40.5366667,74.8277778,,,,455
node,5605660902,пик Альбатрос,,,,4740,42.1974295,78.5549104,,,,430
node,2593135327,,,,,4739,39.0493168,74.2847531,,,,81
node,11194770679,,,,,4737,41.9804992,77.7078049,,,,192
node,9285752603,Dannman-Tau,Dannman-Tau,,,4732,40.5114387,74.8779696,,,,212
node,2598261561,,,,,4730,39.0269258,75.0117588,,,,264
node,10768402831,Горных водителей,,,,4730,41.1027345,77.6606997,,,,-191
node,8888415138,Peak Schullinger-Krause,,,,4727,41.415972,77.639778,,,,239
node,11194770839,,,,,4723,42.0064322,77.6824379,,,,594
node,1867556468,Карнизная,,,,4721,42.0610189,78.6918497,,,,169
