osm_type,osm_id,name,name_en,name_ru,name_ky,elevation_m,lat,lon,prominence,wikidata,wikipedia
node,2552154252,,,,,2102.5,41.7881491,70.0213667,,,
node,2571061593,Lesser Chimgan,Lesser Chimgan,Малый Чимган,,2097.6,41.5525032,70.0405609,,,
node,2334331782,Kattagaza,Kattagaza,Каттагаза,,2097.1,41.3918589,69.9641805,,,
node,2562592794,,,,,2095.1,41.7499349,70.1023132,,,
node,2562592816,,,,,2095.1,41.755775,70.1090047,,,
node,5105156760,,,,,2088.1,41.2046186,70.98589,,,
node,2514921598,,,,,2084.4,41.1452824,70.4689714,,,
node,5068192126,,,,,2083.4,41.0714655,70.7325554,,,
node,11274854595,,,,,2079,41.2367694,71.0308169,,,
node,4804940155,,,,,2077.6,41.3545597,70.6528924,,,
node,2523956457,,,,,2076.1,41.0478866,70.4025644,,,
node,2574044198,,,,,2075.5,41.8180074,70.3010003,,,
node,2349268266,,,,,2071.3,41.6291624,70.4211598,,,
node,2349268229,,,,,2068.0,41.5467212,70.2792212,,,
node,2507924142,,,,,2063.3,41.1703198,70.0223091,,,
node,2524067627,,,,,2063.0,41.0219659,70.3457933,,,
node,2687930793,Алтын-Топкан,,Алтын-Топкан,,2060.4,40.6156815,69.5957258,,,
node,2022631508,,,,,2059.8,41.543004,70.0963534,,,
node,1544317655,,,,,2056.9,41.7337735,69.9576833,,,
node,349032500,,,,,2056.2,40.6341375,69.6692671,,,
node,2500502187,,,,,2055.6,41.2609398,70.4939919,,,
node,2512574147,,,,,2053.5,41.1221993,70.006065,,,
node,2520658444,,,,,2053.5,41.1015122,70.1281921,,,
node,2556647139,,,,,2051.4,41.6787554,70.1447514,,,
node,2540913809,,,,,2050.3,40.9181332,70.2372678,,,
node,2474872996,Tashtyube,Tashtyube,Таштюбе,,2044.9,41.0511781,69.9382401,,,
node,2509052208,,,,,2043.6,41.1352211,70.1378009,,,
node,1253951236,Surenata,Surenata,Сюрената,,2042.0,41.3894377,69.8528691,,,
node,1456588260,Charkatau,Charkatau,Чаркатау,,2039.9,41.3467141,69.952179,,,
node,2683110651,,,,,2039.8,40.7621825,69.9582192,,,
node,4873829775,,,,,2039,41.019461,70.6713152,,,
node,1423802736,,,,,2036.1,41.6393795,70.1018116,,,
node,9415403788,,,,,2035,40.0905448,72.0803695,,,
node,5257278175,Янгаклы,,Янгаклы,,2034.5,40.9788532,70.5689621,,,
node,2444008300,Shahkurkan,Shahkurkan,Шахкурган,,2025.2,41.2548458,69.8394328,,,
node,8111690001,Begiztash,Begiztash,Бегизташ,,2025,41.2560527,69.8371126,,,
node,1497172180,Paltau,Paltau,Пальтау,,2023.5,41.5557863,70.148786,,,
node,5119175835,,,,,2022.8,41.0517835,70.8240938,,,
node,2582235163,,,,,2021.4,41.3350753,70.0052407,,,
node,2481033456,,,,,2018.7,41.1097401,69.9189429,,,
node,2523956871,,,,,2016.0,41.0501895,70.4609123,,,
node,2533286285,,,,,2015.5,40.7712017,70.0211355,,,
node,9460439999,,,,,2015,40.1558354,71.9619064,,,
node,2316717400,,,,,2012.7,41.3782075,69.8467807,,,
node,2407714425,,,,,2011.3,41.3000677,69.8983611,,,
node,1497172178,Dodekatym,Dodekatym,Додекатым,,2008.8,41.5805566,70.178538,,,
node,2408424226,,,,,2008.1,41.3311193,69.8907531,,,
node,2567771127,,,,,2005.1,41.8743354,70.2677535,,,
node,2293419271,Khatynaylyk,Khatynaylyk,Хатынайлык,,2003.8,41.6611548,69.7103772,,,
node,2582235144,,,,,2000.6,41.334452,70.0359108,,,
node,2512574239,Кызылзав,,Кызылзав,,2000.3,41.1301906,70.0493611,,,
node,4877156839,,,,,1995.7,41.036393,70.6893396,,,
node,2687930862,,,,,1995.2,40.6282997,69.7055802,,,
node,2572661784,,,,,1995.0,41.8706121,70.2231499,,,
node,2514698123,,,,,1992.7,41.1278397,70.2649251,,,
node,2523909681,,,,,1992.1,41.034488,70.3178687,,,
node,4857213137,,,,,1989.5,41.0141992,70.6024575,,,
node,1227791851,Qungurbuqa,Qungurbuqa,Кунгурбука,,1980.0,41.5807959,69.9521852,,,
node,2567771138,,,,,1974.5,41.8773733,70.2923567,,,
node,2576658327,Сарджан,,Сарджан,,1972.5,41.8006885,69.9924454,,,
node,2540914369,,,,,1971.2,40.9316324,70.2420692,,,
node,2540926350,,,,,1971.2,40.9396601,70.2367206,,,
node,2527554428,,,,,1969.7,40.9829202,70.2168244,,,
node,2564080141,,,,,1965.2,41.7923527,70.121031,,,
node,2474831282,Сарытюбе,,Сарытюбе,,1963.5,41.0302389,69.935346,,,
node,2481033466,,,,,1961.9,41.20737,69.9079274,,,
node,2523903443,,,,,1956.0,41.0617615,70.3561263,,,
node,1412079806,Мингтухум,,Мингтухум,,1952.5,41.5599891,69.949819,,,
node,5761441507,,,,,1951,39.8340913,70.5506017,,,
node,2285203504,,,,,1950.4,41.6809728,69.7860154,,,
node,2577815633,,,,,1950,41.5060729,70.2036302,,,
node,2490856458,,,,,1946.4,41.0871433,69.9938121,,,
node,1423951104,Кокбет,,Кокбет,,1945.0,41.4456448,69.9013733,,,
node,9408739133,,,,,1945,40.1462878,72.0761819,,,
node,9413362766,,,,,1945,40.1528204,72.1228151,,,
node,2550182094,,,,,1943.2,41.5854822,69.9528328,,,
node,2022631369,,,,,1942.6,41.4971152,69.991844,,,
node,2514820601,,,,,1938.8,41.0974976,70.3960189,,,
node,5078468606,,,,,1936.2,41.1885857,70.9475612,,,
node,2533485537,Майлиджан,,,,1929.9,40.8398365,70.0760802,,,
node,2623276396,,,,,1920.5,40.6723947,69.9490233,,,
node,9460425857,,,,,1915,40.1210141,71.8251567,,,
node,1497181991,Karataubashi,Karataubashi,Каратаутбаши,,1914.6,41.5900951,70.135888,,,
node,2533291274,,,,,1911.8,40.7946283,70.047049,,,
node,2514820609,,,,,1904.3,41.1144418,70.3910001,,,
node,2481033455,,,,,1902.7,41.088648,69.9028857,,,
node,2653313739,,,,,1902.1,40.6383416,69.6869016,,,
node,2344709393,,,,,1897.8,41.3657617,70.1465984,,,
node,2474872994,Kyzykurgan,Kyzykurgan,Кызыкурган,,1894.1,41.0354861,69.8816051,,,
node,2676855308,,,,,1891.3,40.660463,69.7589451,,,
node,2490693928,,,,,1886.8,41.0536628,69.9005714,,,
node,4873369863,,,,,1883.2,41.0393225,70.6120276,,,
node,2481033454,,,,,1882.9,41.0671002,69.8735381,,,
node,2316717254,,,,,1881.0,41.3510464,69.8006049,,,
node,2513804867,,,,,1880.0,41.1043471,70.1900014,,,
node,2349268272,,,,,1879.0,41.6445111,70.491106,,,
node,2524038912,,,,,1878.5,41.0103325,70.3164754,,,
node,2513583838,,,,,1877.8,41.1010277,70.0561151,,,
node,11987674640,Patandazbashi,Patandazbashi,Патандезбаши,,1877.4,41.5500849,70.0904927,,,
node,2344705717,,,,,1873.7,41.4400658,70.2260825,,,
node,2523025027,,,,,1873.3,41.037775,70.2791937,,,
node,2481033450,,,,,1872.1,41.0587891,69.8574855,,,
node,2514892900,,,,,1870.2,41.1059922,70.4263067,,,
node,2550182063,,,,,1869.6,41.5774701,69.9368495,,,
node,1227632169,Kyzyljar,Kyzyljar,Кызылджар,,1866.0,41.5331103,70.0091332,,,
node,2533450352,,,,,1866.0,40.819455,70.0852015,,,
node,4859022643,,,,,1863.3,41.0052774,70.6892538,,,
node,2687961627,,,,,1858.1,40.6505679,69.6379848,,,
node,2339029969,,,,,1857.4,41.5151795,69.9999405,,,
node,5104983479,Таракстан,,Таракстан,,1855.4,41.0772808,70.9317255,,,
node,2514854750,,,,,1853.4,41.1029817,70.3749017,,,
node,2514699114,,,,,1853.3,41.1235987,70.2738043,,,
node,2567572787,,,,,1852.1,41.9369109,70.4542315,,,
node,2567771451,,,,,1849.6,41.9006355,70.3250985,,,
node,9413297365,,,,,1845,40.1477903,71.9319515,,,
node,2350731274,,,,,1843.9,41.458919,70.2305617,,,
node,1253947623,Zarshakh,Zarshakh,Заршах,,1840,41.3451864,69.7932216,,,
node,2633499856,Учкатлы,,Учкатлы,,1837.5,40.7171843,69.7271269,,,
node,5105023473,,,,,1836.4,41.1000031,70.9574103,,,
